Category: All categories

Week,nvidia: (United States)
2023-01-01,37
2023-01-08,37
2023-01-15,34
2023-01-22,38
2023-01-29,41
2023-02-05,40
2023-02-12,39
2023-02-19,44
2023-02-26,38
2023-03-05,39
2023-03-12,40
2023-03-19,45
2023-03-26,38
2023-04-02,34
2023-04-09,38
2023-04-16,38
2023-04-23,35
2023-04-30,37
2023-05-07,35
2023-05-14,41
2023-05-21,85
2023-05-28,82
2023-06-04,54
2023-06-11,57
2023-06-18,49
2023-06-25,50
2023-07-02,43
2023-07-09,53
2023-07-16,53
2023-07-23,49
2023-07-30,50
2023-08-06,54
2023-08-13,52
2023-08-20,100
2023-08-27,61
2023-09-03,52
2023-09-10,50
2023-09-17,47
2023-09-24,46
2023-10-01,44
2023-10-08,45
2023-10-15,48
2023-10-22,49
2023-10-29,47
2023-11-05,48
2023-11-12,55
2023-11-19,72
2023-11-26,54
2023-12-03,54
2023-12-10,51
2023-12-17,55
2023-12-24,53
2023-12-31,49
